record_id,hor_task_counterbalance,gif_tx_group
AA022,2,1
AA071,1,1
AA111,2,1
AA164,1,1
AA374,2,1
AA703,1,1
AB050,2,1
AB434,1,1
AF443,1,1
AF497,2,1
AF661,2,1
AG134,1,1
AL752,2,1
AL925,2,1
AN861,2,1
AP999,1,1
AQ340,1,1
AQ975,2,1
AS988,1,1
AU798,1,1
AV503,1,1
AV708,2,1
BB360,1,1
BB497,1,1
BB809,2,1
BC553,2,1
BC615,2,1
BD730,1,1
BJ123,2,1
BJ523,2,1
BK144,1,1
BK413,1,1
BK415,1,1
BK516,1,1
BK620,2,1
BL502,2,1
BL641,1,1
BM152,2,1
BM558,2,1
BN251,1,1
BN451,1,1
BO344,2,1
BO399,2,1
BQ949,2,1
BR198,1,1
BR511,1,1
BR518,1,1
BR715,1,1
BR911,2,1
BS286,1,1
BS326,1,1
BS634,1,1
BS675,2,1
BS693,1,1
BT073,1,1
BT475,2,1
BT779,2,1
BT792,2,1
AP526,2,3
AZ001,1,3
BD287,2,3
BJ848,2,3
BN732,1,3
BO119,2,3
BO201,2,3
BO203,1,3
BO335,2,3
BO460,1,3
BO741,2,3
BO949,2,3
BP005,1,3
BP115,1,3
BP192,2,3
BP220,1,3
BP230,2,3
BP353,2,3
BP398,1,3
BP440,2,3
BP510,1,3
BP595,2,3
BP739,1,3
BQ073,1,3
BQ138,1,3
BQ167,1,3
BQ420,2,3
BQ544,2,3
BQ572,1,3
BQ639,2,3
BQ640,2,3
BQ848,2,3
BQ935,1,3
BQ946,2,3
BQ984,1,3
BQ985,2,3
BR043,2,3
BR101,2,3
BR193,2,3
BR298,2,3
BR330,1,3
BR522,1,3
BR549,2,3
BR664,1,3
BR783,1,3
BR794,1,3
BR795,1,3
BR932,2,3
BS068,1,3
BS433,2,3
BS473,1,3
BS637,2,3
BS677,2,3
BS708,1,3
BT161,2,3
BT171,1,3
